muN,mu1,mu2,alpha1,alpha2,beta1,beta2
7.75891178433679e-05,4.01233646351602e-05,0.00130923539372703,3.30044662761722,5.94916647490123,3.13649119067162,5.66014832748827
7.75891178433679e-05,4.01233646351602e-05,0.00130923539372703,3.30044662761722,5.94916647490123,3.13649119067162,5.66014832748827
7.76278021630106e-05,8.02770271886231e-05,0.00128761687688848,1.7461490971321,4.0189151921144,1.58697072391444,3.91697250012116
7.76278021630106e-05,8.02770271886231e-05,0.00128761687688848,1.7461490971321,4.0189151921144,1.58697072391444,3.91697250012116
7.76278021630106e-05,8.02770271886231e-05,0.00128761687688848,1.7461490971321,4.0189151921144,1.58697072391444,3.91697250012116
7.75905482166898e-05,1.77455601331498e-05,0.00121547069649215,7.56278876976522,4.402348314626,7.39964278492417,3.86741582579368
7.76276837242884e-05,4.31322748074602e-05,0.0017195182019656,2.7706223854913,4.14095588787402,2.5987242241189,4.00879153181599
7.76276837242884e-05,4.31322748074602e-05,0.0017195182019656,2.7706223854913,4.14095588787402,2.5987242241189,4.00879153181599
7.76276837242884e-05,4.31322748074602e-05,0.0017195182019656,2.7706223854913,4.14095588787402,2.5987242241189,4.00879153181599
7.75966850612336e-05,3.41608448363462e-05,0.00219179117115905,4.23817001173802,3.08508787896822,4.0814180138688,2.86100205836412
7.75850840142598e-05,2.89412364260121e-05,0.00234527584035958,6.85829392239607,0.936185214491014,6.74508133327798,0.608322294843312
7.75765316800977e-05,6.16331659919398e-05,0.000871485378083128,2.60898976809948,6.26418164759844,2.46227511510808,5.9227144462727
7.75880420335135e-05,2.48118958620434e-05,0.00191789424490913,4.6197983495527,4.75670273379376,4.44488562250207,4.49118719507467
7.75826491704746e-05,3.67703875922369e-05,0.00166113389354738,3.5893891610535,4.68332348434938,3.42499329945213,4.44002012802996
7.75826491704746e-05,3.67703875922369e-05,0.00166113389354738,3.5893891610535,4.68332348434938,3.42499329945213,4.44002012802996
5.25061472022003e-05,4.17511268991255e-05,0.00141222258088278,2.60616253352296,6.19669709961367,2.42917920058176,5.90380494884768
7.75824485798362e-05,8.30941451158695e-05,0.00106913336921512,1.79950449886942,5.70367859382156,1.64585103039832,5.52334286374015
7.75824485798362e-05,8.30941451158695e-05,0.00106913336921512,1.79950449886942,5.70367859382156,1.64585103039832,5.52334286374015
7.76409772523958e-05,3.86867029925033e-05,0.00125096796713177,3.89597365865857,4.88978292037806,3.74289961297089,4.53925172338472
7.75674577298711e-05,5.56858828013805e-05,0.00174014685007492,2.9071242351872,3.11840598826416,2.76117770624111,2.92413874863188
7.75674577298711e-05,5.56858828013805e-05,0.00174014685007492,2.9071242351872,3.11840598826416,2.76117770624111,2.92413874863188
7.75674577298711e-05,5.56858828013805e-05,0.00174014685007492,2.9071242351872,3.11840598826416,2.76117770624111,2.92413874863188
7.75796910433518e-05,4.17486493295637e-05,0.00177727262992889,3.73360661303223,3.43703938526473,3.58354687294453,3.1843762992738
7.75796910433518e-05,4.17486493295637e-05,0.00177727262992889,3.73360661303223,3.43703938526473,3.58354687294453,3.1843762992738
7.75911017095475e-05,2.80498243559766e-05,0.000381480381018454,5.66875973602043,5.95774130891716,5.52068748968867,5.28351669393024
7.75751300926689e-05,1.7589285646934e-05,0.00154650230472244,7.59193542878306,3.95962756354875,7.42839404575032,3.47889585513405
7.75751300926689e-05,1.7589285646934e-05,0.00154650230472244,7.59193542878306,3.95962756354875,7.42839404575032,3.47889585513405
7.75769072021131e-05,1.64940846262199e-05,0.00154696227717221,7.43852500676723,4.53328103729966,7.26845051951688,4.05559575709782
5.25061459424573e-05,1.30787624484291e-05,0.00142173238487426,8.1435789350106,3.74029832208701,7.96494575240562,3.11816202815533
5.25061459424573e-05,1.30787624484291e-05,0.00142173238487426,8.1435789350106,3.74029832208701,7.96494575240562,3.11816202815533
7.75752614582056e-05,3.67870502801376e-05,0.00150597055220627,3.22189548635845,5.71510960509314,3.04934816424807,5.49136846874393
7.75528898387319e-05,4.18078539139398e-05,0.00124804738027228,4.52816488366118,2.37964350979035,4.40201286621828,2.00661915359829
7.75539728658101e-05,4.43961745031121e-05,0.00123316469830681,3.13329030139698,5.90453791605921,2.97334253154445,5.61050644380373
7.75473632591017e-05,1.41176731111731e-05,0.00337976052923098,7.68030106331927,2.83264622707991,7.5015387599779,2.58286555499582
7.76731440655089e-05,4.46378363230651e-05,0.00138369748933513,3.27938845105163,4.91234192051031,3.12353877202998,4.63368620461567
7.76731440655089e-05,4.46378363230651e-05,0.00138369748933513,3.27938845105163,4.91234192051031,3.12353877202998,4.63368620461567
7.75645239610139e-05,6.26049820125096e-05,0.00160943291769318,2.36118658292955,3.47902786677389,2.20632157475518,3.33966761776055
7.75645239610139e-05,6.26049820125096e-05,0.00160943291769318,2.36118658292955,3.47902786677389,2.20632157475518,3.33966761776055
7.75621800288001e-05,5.47738011252875e-05,0.0011016563837432,2.52775264470635,6.66745969302713,2.36724591042095,6.40608669327486
7.75621800288001e-05,5.47738011252875e-05,0.0011016563837432,2.52775264470635,6.66745969302713,2.36724591042095,6.40608669327486
5.25061473058664e-05,4.22420697064048e-05,0.00123736371026522,2.77098627484427,6.33278085676167,2.59941293806149,5.97449070484743
7.75421653959348e-05,1.45204345012217e-05,0.000555604324201099,8.21214829602977,6.52831025981325,8.04028672371818,5.78484263751011
7.75421653959348e-05,1.45204345012217e-05,0.000555604324201099,8.21214829602977,6.52831025981325,8.04028672371818,5.78484263751011
7.75445155227628e-05,9.19213551825946e-06,0.000876474779491513,8.34587240970373,8.91505428084598,8.14485758481441,8.25105792953743
7.75445155227628e-05,9.19213551825946e-06,0.000876474779491513,8.34587240970373,8.91505428084598,8.14485758481441,8.25105792953743
7.75445155227628e-05,9.19213551825946e-06,0.000876474779491513,8.34587240970373,8.91505428084598,8.14485758481441,8.25105792953743
7.75354937564833e-05,2.20767340351577e-05,0.00171512318195428,4.87223109912734,5.67775504156801,4.69282603191472,5.36896883280526
7.75431854235057e-05,3.31009884848584e-05,0.000765035723269417,4.28655366470288,6.88693932531801,4.12808079411821,6.38876984691039
7.75431854235057e-05,3.31009884848584e-05,0.000765035723269417,4.28655366470288,6.88693932531801,4.12808079411821,6.38876984691039
5.25061466685235e-05,3.10816559770823e-05,0.00156637372912624,3.29130947473264,5.84991963979185,3.10989799166584,5.51985803481693
